total cost: 22105.7000000009
973 67511 0.04
974 30827 0.24
975 90951 0.24
976 61289 0.35
977 29029 0.43
978 3172 0.4
979 51450 0
980 54123 0.35
981 70740 0.35
982 24346 0.45
983 85708 0.2
984 93700 0.45
985 53460 0.08
986 75145 0.46
987 56005 0.01
988 24572 0.28
989 72900 0.09
990 82946 0.04
991 13640 0.06
992 57877 0.39
993 76204 0.37
994 68624 0.29
995 59150 0.71
996 49555 0.19
997 97904 0.29
998 84900 0.23
999 14770 0.08
1000 51858 0.27
1001 21611 0.16
1002 49318 0.01
1003 3693 0.17
1004 88709 0.15
1005 69895 0.05
1006 46266 0.4
1007 62580 0.19
1008 58715 0.05
1009 40203 0.08
1010 92508 0.24
1011 6162 0.27
1012 27313 0.32
1013 10212 0.25
1014 41415 0.23
1015 95693 0.67
1016 96647 0.49
1017 734 0.58
1018 31520 0.1
1019 35694 0.14
1020 27348 0.05
1021 73892 0.24
1022 99734 0.32
1023 79235 0.02
1024 30344 0.08
1025 93958 0.1
1026 28935 0.2
1027 75034 0.13
1028 98820 0.17
1029 31312 0.24
1030 47529 0.05
1031 28127 0.05
1032 87364 0.04
1033 66536 0.19
1034 6020 0.06
1035 48290 0.05
1036 8965 0.27
1037 41393 0.55
1038 11918 0.39
1039 45033 0.2
1040 52449 0.4
1041 5208 0.02
1042 83157 0.1
1043 46265 0.2
1044 87958 0.47
1045 59039 0.19
1046 32337 0.28
1047 46909 0.3
1048 46052 0.13
1049 56727 0.3
1050 73735 0.12
1051 45213 0.05
1052 77387 0.05
1053 77204 0.22
1054 55728 0.25
1055 557 0.25
1056 61701 0.23
1057 82659 0.12
1058 87650 0.14
1059 30869 0.09
1060 92361 0.16
1061 67496 1.12
1062 32017 0.03
1063 95669 0.09
1064 61257 0.6
1065 30125 0.2
1066 8590 0.15
1067 21632 0.26
1068 88962 0.16
1069 47268 0.1
1070 26960 0.21
1071 41330 0.28
1072 82912 0.34
1073 46656 0.42
1074 81776 0.06
1075 18460 0.39
1076 78279 0.2
1077 34600 0.22
1078 71237 0.07
1079 90461 0.15
1080 54021 0.15
1081 44282 0
1082 28345 0.17
1083 82138 0.04
1084 89306 0.07
1085 47371 0.09
1086 38882 0.1
1087 81091 0.03
1088 75105 0.26
1089 13755 0.38
1090 21565 0.06
1091 24148 0.08
1092 10172 0.38
1093 66638 0.51
1094 64930 0.14
1095 19290 0.01
1096 79908 0.02
1097 5375 0.15
1098 1963 0.54
1099 5712 0.24
1100 81739 0.16
1101 85216 0.3
1102 72377 1.07
1103 86066 0.39
1104 71237 0.22
1105 57361 0.23
1106 70751 0.1
1107 47155 0.51
1108 53052 0.24
1109 98560 0.14
1110 37176 0.32
1111 62237 0.18
1112 1413 0.14
1113 18761 0.31
1114 10937 0.02
1115 92526 0.14
1116 24533 0.06
1117 48837 0.08
